"Numbers"|"ID"|"Handle"|"Image Src"|"status"|"text"
"1"|"8910405075246"|"louis-vuitton-lv-fw21-tee-1a971l"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/main-square_540x_13406138-dec9-43d7-803a-d105d10344c8.jpg?v=1724255203"|"200"|""
"2"|"8910405075246"|"louis-vuitton-lv-fw21-tee-1a971l"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/1_540x_81de5ac5-b40e-46fb-aa1a-6ba1c4e89186.jpg?v=1724255203"|"200"|""
"3"|"8910405075246"|"louis-vuitton-lv-fw21-tee-1a971l"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/2_540x_94fc2ac4-1d91-4d1e-a803-6c5a960af46e.jpg?v=1724255203"|"200"|""
"4"|"8910405075246"|"louis-vuitton-lv-fw21-tee-1a971l"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/3_540x_80dc6755-7c29-4edc-8c46-b80beb151af0.jpg?v=1724255203"|"200"|""
"5"|"8910402486574"|"louis-vuitton-lv-ss21-1a7xpp"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/main-square_540x_bf60e3b8-7583-43a2-b41c-978e3de3f037.jpg?v=1724052374"|"200"|""
"6"|"8910402486574"|"louis-vuitton-lv-ss21-1a7xpp"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/1_540x_438792cd-cb17-426a-a3d3-a233a4600e73.jpg?v=1724052374"|""|""
"2"|"8910405075246"|"louis-vuitton-lv-fw21-tee-1a971l"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/1_540x_81de5ac5-b40e-46fb-aa1a-6ba1c4e89186.jpg?v=1724255203"|"200"|""
"3"|"8910405075246"|"louis-vuitton-lv-fw21-tee-1a971l"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/2_540x_94fc2ac4-1d91-4d1e-a803-6c5a960af46e.jpg?v=1724255203"|"200"|""
"4"|"8910405075246"|"louis-vuitton-lv-fw21-tee-1a971l"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/3_540x_80dc6755-7c29-4edc-8c46-b80beb151af0.jpg?v=1724255203"|"200"|""
"5"|"8910402486574"|"louis-vuitton-lv-ss21-1a7xpp"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/main-square_540x_bf60e3b8-7583-43a2-b41c-978e3de3f037.jpg?v=1724052374"|"200"|""
